Vowel, Recording#, F1, F2
i,144,173.2668,1472.464
i,145,281.3647,1239.505
i,146,247.2203,728.0846
i,147,299.1054,1241.616
i,148,326.9395,1623.685
i,149,306.2513,324.5971
o,0,435.9836,896.6154
o,1,443.8179,773.3714
o,2,255.6063,567.2624
o,3,404.7606,789.0453
o,4,265.762,727.6946
o,5,449.8785,1083.53
o,6,237.2175,1573.834
o,7,261.5985,851.5456
o,8,193.7435,793.5681
o,9,480.7893,929.5797
o,10,502.1974,1713.913
o,11,403.0269,1575.993
o,12,462.937,907.0829
o,13,276.3064,733.9799
o,14,248.936,828.3375
o,15,532.991,992.0303
o,16,495.1598,824.7873
o,17,550.8818,849.043
o,18,403.8237,1071.569
o,19,530.9658,946.0097
o,20,520.8726,1018.852
o,21,384.6944,671.2537
o,22,318.8035,709.8342
o,23,384.5114,784.7403
o,24,213.8565,944.6793
o,25,214.7223,554.8192
o,26,210.7063,805.6016
o,27,225.0778,605.3876
o,28,402.199,567.3792
o,29,413.9569,662.3734
o,30,134.3173,905.1493
o,31,250.4146,894.8225
o,32,640.7688,814.9134
o,33,493.501,867.557
o,34,499.46,967.9158
o,35,403.2605,922.9467
o,36,242.3494,745.099
o,37,289.6621,457.0961
o,38,386.3396,836.4333
o,39,484.7284,520.6757
o,40,261.4594,562.4315
o,41,367.5124,570.987
o,42,475.8526,651.103
o,43,448.9335,841.3086
o,44,540.8883,1398.537
o,45,198.0744,703.1784
o,46,278.0843,1687.662
o,47,175.4696,975.8163
o,48,232.7259,541.9694
o,49,235.6589,1529.549
o,50,444.2258,1029.703
o,51,199.739,961.8307
o,52,282.5682,784.7709
o,53,218.7253,577.7909
o,54,406.1763,924.7012
o,55,175.0803,1160.533
o,56,257.1597,850.7141
o,57,510.9168,801.8515
o,58,174.8738,941.9274
o,59,178.4676,906.7617
o,60,292.8114,518.2504
o,61,231.3758,846.9223
o,62,568.3035,802.7174
o,63,207.0438,736.1382
o,64,265.6026,1313.771
o,65,501.7559,1059.906
o,66,269.5036,1665.327
o,67,236.0586,609.7385
o,68,268.5292,1100.794
o,69,146.4533,1477.479
o,70,414.6339,754.2062
o,71,264.8718,1706.343
o,72,495.2656,875.6833
o,73,286.3492,704.4115
o,74,150.7612,614.61
o,75,275.4363,1103.612
o,76,361.4142,1156.851
o,77,306.8305,888.3347
o,78,237.7885,955.806
o,79,259.8064,860.7318
o,80,265.9856,1576.638
o,81,251.7873,949.6187
o,82,253.1741,940.77
o,83,250.6612,874.3515
o,84,467.8432,596.8243
o,85,167.2494,742.9667
o,86,324.7671,1062.267
o,87,39.70869,587.0276
o,88,436.8197,1932.812
o,89,446.159,881.7126
o,90,218.8771,1088.456
o,91,212.4753,1116.461
o,92,71.03021,926.0809
o,93,104.6311,422.9905
o,94,211.6049,604.1956
o,95,463.7414,1581.898
o,96,333.4599,1351.866
o,97,201.8594,867.1956
o,98,268.9546,356.2812
o,99,150.0461,993.7002
o,100,172.5041,977.8489
o,101,157.0338,740.1951
o,102,180.4338,644.6527
o,103,335.2719,1716.794
o,104,274.1838,643.4957
o,105,333.4588,1696.608
o,106,277.4875,1343.302
o,107,105.9356,672.1989
o,108,250.2693,734.6239
o,109,162.9221,1289.988
o,110,248.524,838.5891
o,111,354.9784,833.9518
o,112,462.6931,971.3842
o,113,363.5848,1399.461
o,114,541.9336,698.053
o,115,468.6421,535.5686
o,116,529.1301,1196.58
o,117,152.1864,945.2482
o,118,207.2902,804.5983
o,119,350.3925,431.9583
o,120,295.1348,708.4106
o,121,337.3075,1205.194
o,122,451.4062,540.3452
o,123,351.3565,1246.77
o,124,419.2173,867.7874
o,125,549.5273,1126.674
o,126,545.4196,988.6116
o,127,161.1797,1270.315
o,128,180.0264,560.2641
o,129,267.7693,1231.335
o,130,232.8021,1271.484
o,131,138.5731,648.5952
o,132,357.4064,885.9534
o,133,387.2946,1095.421
o,134,663.0126,780.197
o,135,352.7845,967.7822
o,136,459.8446,897.8158
o,137,361.6584,867.665
o,138,111.685,671.0453
o,139,156.6896,815.6749
o,140,270.8916,1389.993
o,141,241.3798,1659.474
o,142,295.2956,1026.891
o,143,289.9252,831.2953
o,144,236.7092,955.1691
o,145,403.7581,1027.344
o,146,429.6924,931.6411
o,147,340.932,670.4562
o,148,376.057,897.322
o,149,134.1004,372.4279
u,0,452.5254,1162.634
u,1,465.6085,832.0609
u,2,385.1681,645.4166
u,3,300.3831,625.5324
u,4,317.7888,324.6526
u,5,325.4523,469.1422
u,6,218.7683,612.9901
u,7,255.8073,816.4679
u,8,248.3773,722.8043
u,9,270.1054,754.9315
u,10,264.8459,736.353
u,11,280.8911,726.2328
u,12,7.221652E-08,549.2238
u,13,256.1383,506.1808
u,14,384.8677,416.0751
u,15,469.8757,758.661
u,16,353.565,681.0617
u,17,281.0487,558.0477
u,18,378.0215,760.0834
u,19,447.1835,663.5014
u,20,352.8056,518.558
u,21,360.2658,794.4041
u,22,336.252,665.1555
u,23,368.3873,784.4067
u,24,246.5398,1403.457
u,25,249.3885,1691.411
u,26,440.1422,896.4179
u,27,152.8638,718.1226
u,28,207.8204,950.5698
u,29,328.5097,585.0401
u,30,163.9863,1136.558
u,31,143.374,1609.721
u,32,700,700
u,33,283.3681,801.1825
u,34,315.6532,737.695
u,35,262.1096,714.0138
u,36,226.6668,1865.157
u,37,230.7641,1477.48
u,38,227.2918,1036.759
u,39,212.973,350.9804
u,40,342.0429,464.1909
u,41,343.8894,836.1356
u,42,312.1627,1494.126
u,43,289.2067,1095.628
u,44,208.9073,621.5598
u,45,190.4438,766.696
u,46,207.2006,651.0038
u,47,205.4911,401.0993
u,48,169.0052,651.0123
u,49,392.2108,551.7495
u,50,297.4041,760.2223
u,51,178.4427,445.9616
u,52,192.7381,490.6941
u,53,216.073,1281.214
u,54,385.2506,780.09
u,55,257.7677,424.2862
u,56,327.5372,1119.149
u,57,140.5406,1862.752
u,58,146.9158,934.9241
u,59,168.5863,1308.284
u,60,239.8796,1058.028
u,61,434.5923,519.9764
u,62,240.4507,455.0794
u,63,369.4533,466.7869
u,64,403.9762,873.9642
u,65,419.8496,510.3853
u,66,235.2158,1174.899
u,67,241.5289,627.1055
u,68,220.8479,271.8514
u,69,195.9958,665.8082
u,70,700,700
u,71,268.4224,1408.096
u,72,252.2,1618.314
u,73,137.9139,427.8376
u,74,222.7332,516.0441
u,75,299.876,587.9611
u,76,332.0478,1476.202
u,77,310.5597,901.3742
u,78,446.0397,931.8721
u,79,220.2042,1259.677
u,80,244.0856,958.3502
u,81,219.2401,1696.773
u,82,278.0563,445.3383
u,83,221.4278,1334.341
u,84,308.4717,1879.073
u,85,232.5332,574.1245
u,86,262.8524,1395.647
u,87,192.4447,990.4063
u,88,474.738,1825.479
u,89,271.746,544.7956
u,90,195.904,1837.081
u,91,311.5475,1621.365
u,92,233.0507,556.1163
u,93,199.3114,550.3188
u,94,296.3443,597.8439
u,95,260.1493,309.6811
u,96,450.6047,1400.719
u,97,295.2138,1377.011
u,98,319.0538,2005.59
u,99,157.4833,1246.891
u,100,195.7347,1230.342
u,101,336.003,1499.935
u,102,292.9485,1348.307
u,103,358.0792,1319.36
u,104,194.3941,711.5869
u,105,321.5173,1216.378
u,106,256.0714,453.8986
u,107,290.1043,1011.752
u,108,282.5929,1872.888
u,109,143.0252,670.4808
u,110,229.6501,1441.864
u,111,315.7465,1785.729
u,112,233.1579,949.8847
u,113,263.7158,1541.119
