magnitudes,hps1,hps2,hps3,hps4,Product,f0
0.1131166,0.004051613,0.001351177,0.006553124,0.00549925,2.23161E-11,387.5977
0.1292782,0.002220628,0.0009976395,0.002505795,0.001340413,9.619639E-13,387.5977
0.137422,0.0007916442,0.0002216212,0.002772081,0.00443866,2.966574E-13,387.5977
0.1397443,0.00117167,0.0009738889,0.002630484,0.003174733,1.331654E-12,387.5977
0.1415496,0.001458266,0.001191599,0.001433942,0.001626379,5.736261E-13,387.5977
0.1494464,0.001958468,0.0009932275,0.001237643,0.002424438,8.722823E-13,387.5977
0.1667244,0.003210214,0.0006992137,0.001931392,0.001457042,1.053139E-12,387.5977
0.1905342,0.004190957,0.001037566,0.003011728,0.001209504,3.018041E-12,387.5977
0.2144501,0.003989178,0.001579738,0.002035602,0.002785325,7.662378E-12,387.5977
0.2321407,0.00241557,0.00185893,0.001693537,0.002253566,3.978314E-12,387.5977
0.2391091,0.000943087,0.00197151,0.001309032,0.0008844067,5.14694E-13,387.5977
0.2331362,0.002920168,0.002179315,0.001306622,0.001354084,2.625023E-12,387.5977
0.2142313,0.004399837,0.001854258,0.001571772,0.003747559,1.029503E-11,387.5977
0.1843659,0.004812153,0.0006438798,0.000722824,0.004350416,1.796338E-12,387.5977
0.147123,0.004894699,0.001366676,0.003252229,0.004790588,1.533353E-11,387.5977
0.107465,0.005341986,0.002203191,0.004146498,0.004681386,2.455149E-11,387.5977
0.07217605,0.005639912,0.001678444,0.00263058,0.00296118,5.322169E-12,387.5977
0.05153375,0.005146347,0.0009023243,0.003699574,0.006381338,5.649591E-12,387.5977
0.05235681,0.003975532,0.002047793,0.002652157,0.001068052,1.207387E-12,387.5977
0.06191356,0.002680509,0.004465932,0.0008078546,0.003358933,2.011174E-12,387.5977
0.06744249,0.001704699,0.005686359,0.001385521,0.001878889,1.701884E-12,387.5977
0.06504011,0.001159659,0.003732955,0.001429251,0.002091134,8.415016E-13,387.5977
0.05496106,0.0009596456,0.003241773,0.00112112,0.002418564,4.636157E-13,387.5977
0.03968864,0.000896542,0.005727211,0.001206159,0.001420667,3.492021E-13,387.5977
0.02468177,0.0006863379,0.005078266,0.001425233,0.003316495,4.066258E-13,387.5977
0.02256542,0.0004074408,0.002178184,0.001047328,0.006357679,1.333471E-13,387.5977
0.03419923,0.00109852,0.001621909,0.004745738,0.00167504,4.843729E-13,387.5977
0.04577506,0.002102402,0.005184324,0.006087994,0.008040432,2.442252E-11,387.5977
0.05185244,0.002810898,0.005664608,0.001936497,0.002031513,3.248033E-12,387.5977
0.050668,0.002856912,0.001404488,0.00756541,0.006546906,1.006972E-11,387.5977
0.04198825,0.002201641,0.004498354,0.00549925,0.001832146,4.189781E-12,387.5977
0.02670391,0.001213045,0.006179849,0.0003782711,0.00298686,2.261766E-13,387.5977
0.007093294,0.0005455461,0.002330346,0.003846334,0.001402164,4.863463E-14,387.5977
0.01701487,0.0006256565,0.005160526,0.004307375,0.005261736,1.245089E-12,387.5977
0.03940253,0.0007634243,0.006538237,0.002513808,0.003118329,1.541717E-12,387.5977
0.05883972,0.0008705205,0.001234134,0.001626379,0.003975686,4.087387E-13,387.5977
0.07257163,0.001063804,0.00655568,0.002853741,0.00148875,2.150218E-12,387.5977
0.07850333,0.001347768,0.009813707,0.001056549,0.001584338,1.738096E-12,387.5977
0.0754313,0.001575948,0.005550781,0.001410217,0.001299801,1.209512E-12,387.5977
0.06343146,0.001601882,0.002996238,0.00155698,0.006160249,2.920067E-12,387.5977
0.04487748,0.001374052,0.006553124,0.002785325,0.007091661,7.981853E-12,387.5977
0.03014637,0.0009007506,0.004120216,0.002555802,0.005616609,1.606057E-12,387.5977
0.04290021,0.0002766248,0.0006982322,0.001226817,0.008955142,9.103379E-14,387.5977
0.07273293,0.0006285334,0.003221248,0.0007954764,0.003833131,4.490188E-13,387.5977
0.1038756,0.001266773,0.002630484,0.001873065,0.003041578,1.971968E-12,387.5977
0.1305619,0.001604845,0.001437137,0.003747559,0.006064245,6.843416E-12,387.5977
0.1498841,0.001589662,0.001546782,0.004241255,0.001783661,2.788023E-12,387.5977
0.1607779,0.001358284,0.001031564,0.004660554,0.005244475,5.506212E-12,387.5977
0.1640435,0.001136631,0.001931392,0.004917032,0.004760476,8.429514E-12,387.5977
0.1622226,0.001092181,0.002988528,0.004300321,0.003892872,8.864098E-12,387.5977
0.1589088,0.001234172,0.002616478,0.00296118,0.004827785,7.335905E-12,387.5977
0.1572703,0.001430452,0.001843739,0.006277957,0.000535221,1.393704E-12,387.5977
0.158336,0.001492805,0.001693537,0.003923877,0.009078874,1.426017E-11,387.5977
0.1604985,0.001303464,0.001430625,0.001721428,0.01120412,5.77248E-12,387.5977
0.1607846,0.0009215425,0.001194419,0.003311065,0.006493286,3.804948E-12,387.5977
0.1566007,0.0005682245,0.0013996,0.001878889,0.005202963,1.217502E-12,387.5977
0.146746,0.0003971361,0.001571772,0.00180274,0.005362132,8.854537E-13,387.5977
0.131603,0.0003231662,0.001009814,0.002713189,0.001116386,1.300851E-13,387.5977
0.1128523,0.0005936109,0.001617567,0.0016332,0.008467136,1.498477E-12,387.5977
0.09298483,0.001065315,0.003894796,0.001752415,0.005399674,3.650728E-12,387.5977
0.07472884,0.001351177,0.004146498,0.003316495,0.003020269,4.193792E-12,387.5977
0.0603412,0.001224316,0.002708719,0.005971284,0.004270937,5.103431E-12,387.5977
0.05067481,0.0006916301,0.003259996,0.004637606,0.003651856,1.935043E-12,387.5977
0.04458643,0.0002216212,0.003651267,0.004417557,0.003079568,4.908284E-13,387.5977
0.03980624,0.0007597031,0.002652157,0.007782953,0.004292881,2.679708E-12,387.5977
0.03455456,0.001112464,0.001180411,0.002031513,0.01204663,1.110476E-12,387.5977
0.02820937,0.001191599,0.0008729122,0.006345597,0.0078865,1.468422E-12,387.5977
0.02106226,0.001090414,0.001544199,0.004357374,0.003748848,5.793251E-13,387.5977
0.01389091,0.0008763831,0.001429251,0.0005369712,0.00187749,1.75413E-14,387.5977
0.007708084,0.0006992137,0.0010742,0.003361418,0.003041768,5.919568E-14,387.5977
0.004040193,0.0008570508,0.001261763,0.001402164,0.002260536,1.384831E-14,387.5977
0.00412536,0.001232542,0.001159208,0.004230257,0.003489477,8.70066E-14,387.5977
0.004666309,0.001579738,0.001425233,0.005430516,0.002955182,1.686048E-13,387.5977
0.003861649,0.001801457,0.001159009,0.001304296,0.003845219,4.043715E-14,387.5977
0.002689715,0.001893128,0.002464253,0.004132956,0.003080852,1.597729E-13,387.5977
0.005115586,0.00197151,0.005701454,0.00148875,0.002793489,2.391382E-13,387.5977
0.009973126,0.002122862,0.006087994,0.001368369,0.002563053,4.520516E-13,387.5977
0.01546932,0.002173189,0.002218297,0.00198354,0.002630911,3.891666E-13,387.5977
0.02081579,0.001854258,0.005240019,0.001994911,0.003636273,1.467155E-12,387.5977
0.02542349,0.001092247,0.007835298,0.007240227,0.004672964,7.361327E-12,387.5977
0.02885705,0.0004937328,0.00549925,0.007091661,0.004819764,2.678065E-12,387.5977
0.03086705,0.001366676,0.001297496,0.004665456,0.004131388,1.05501E-12,387.5977
0.03140899,0.002074681,0.002364568,0.00866271,0.002256498,3.011936E-12,387.5977
0.03063171,0.002164114,0.004250745,0.007613052,0.003470538,7.445127E-12,387.5977
0.02883469,0.001678444,0.004307375,0.002488588,0,0,387.5977
0.02640012,0.001037752,0.003174733,0.003041578,0,0,387.5977
0.0237103,0.001041305,0.0009683013,0.006224246,0,0,387.5977
0.02106457,0.002047793,0.002341982,0.002323969,0,0,387.5977
0.01861987,0.003642758,0.002853741,0.005046858,0,0,387.5977
0.0163832,0.005156006,0.001274922,0.004108562,0,0,387.5977
0.01426475,0.005686359,0.001457042,0.004760476,0,0,387.5977
0.01216167,0.004687151,0.001196009,0.005215625,0,0,387.5977
0.01002384,0.002825517,0.00155698,0.002209059,0,0,387.5977
0.00787598,0.003241773,0.002589232,0.005037271,0,0,387.5977
0.005804996,0.00516226,0.002884726,0.002062897,0,0,387.5977
0.003932233,0.005885653,0.002253566,0.009078874,0,0,387.5977
0.002396316,0.005078266,0.001226817,0.01107301,0,0,387.5977
0.001379565,0.003276176,0.0008293077,0.009556232,0,0,387.5977
0.001089529,0.0009969418,0.0009790057,0.003600821,0,0,387.5977
0.00122197,0.001621909,0.002442839,0.005876906,0,0,387.5977
0.001307999,0.004171204,0.003747559,0.005362132,0,0,387.5977
0.001271252,0.005845411,0.004151877,0.002043055,0,0,387.5977
0.001236056,0.005664608,0.004468277,0.005814697,0,0,387.5977
0.001392844,0.003252661,0.004728104,0.008746919,0,0,387.5977
0.001806555,0.0007629016,0.004917032,0.004052833,0,0,387.5977
0.002388646,0.004498354,0.004681386,0.003020269,0,0,387.5977
0.003041366,0.006334373,0.003120449,0.004055019,0,0,387.5977
0.003699687,0.005312198,0.003791876,0.004395079,0,0,387.5977
0.004320959,0.002330346,0.006277957,0.002739396,0,0,387.5977
0.004876462,0.003523385,0.005136548,0.003184709,0,0,387.5977
0.00534837,0.006347477,0.001068052,0.004292881,0,0,387.5977
0.005728158,0.006538237,0.002585797,0.01096037,0,0,387.5977
0.006013861,0.003601127,0.003311065,0.01144119,0,0,387.5977
0.006205783,0.001442419,0.002256748,0.003584312,0,0,387.5977
0.006301198,0.00655568,0.001515854,0.004171056,0,0,387.5977
0.006290668,0.009568276,0.002091134,0.00187749,0,0,387.5977
