Vowel, Recording#, F1, F2
i,101,491.095,545.0864
i,102,140.7582,1521.067
i,103,281.0224,1123.033
i,104,288.1741,1102.939
i,105,318.3241,1585.198
i,106,201.4654,1507.322
i,107,627.5961,2309.336
i,108,223.5096,2083.992
i,109,138.2727,1266.67
i,110,209.7448,1614.892
i,111,372.3027,592.8507
i,112,246.6284,2067.462
i,113,239.646,1990.374
i,114,231.0793,1721.602
i,115,170.2774,1750.054
i,116,317.3337,1349.64
i,117,175.6223,1552.5
i,118,174.9093,1845.544
i,119,191.0655,1982.897
i,120,220.2877,1253.757
i,121,258.356,1267.211
i,122,700,700
i,123,203.9932,924.765
i,124,406.4249,1014.072
i,125,237.5915,1249.555
i,126,269.4995,1551.014
i,127,260.3711,1642.357
i,128,345.5004,1415.332
i,129,334.8047,2080.885
i,130,256.393,950.2035
i,131,232.5139,1129.586
i,132,294.3462,1043.982
i,133,341.0045,1430.526
i,134,333.5842,1544.657
i,135,179.1148,997.4088
i,136,279.3103,1736.469
i,137,192.0337,1413.717
i,138,174.621,260.8877
i,139,205.8811,1042.857
i,140,120.1646,1252.029
i,141,264.241,1593.127
i,142,177.6003,1394.483
i,143,277.6975,1144.963
i,144,211.7552,1300.17
i,145,362.9793,1482.376
i,146,224.2714,1823.842
i,147,230.7178,1479.119
i,148,275.1207,1331.275
i,149,213.905,1205.975
o,0,423.1589,962.365
o,1,470.0492,928.096
o,2,489.4326,923.3321
o,3,416.7611,1357.134
o,4,276.5442,716.4183
o,5,243.4233,954.8271
o,6,173.0965,690.6793
o,7,319.7504,1103.056
o,8,239.6532,1040.748
o,9,324.4073,1173.385
o,10,196.1403,1471.131
o,11,230.9656,1168.614
o,12,409.7818,660.0267
o,13,518.0989,612.7987
o,14,337.0271,864.3013
o,15,437.3,705.7201
o,16,557.5482,966.8668
o,17,188.5418,1034.09
o,18,498.5843,842.7774
o,19,485.2088,639.2666
o,20,366.6537,934.4758
o,21,403.0706,1108.013
o,22,259.4863,1086.469
o,23,308.9696,738.1775
o,24,404.352,688.8327
o,25,389.792,947.7953
o,26,415.4293,1003.435
o,27,261.9112,654.9063
o,28,384.4554,735.0832
o,29,416.4975,1966.013
o,30,426.987,801.6017
o,31,469.1746,1280.328
o,32,537.5142,871.2846
o,33,189.5157,1134.426
